epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783676275181,2944,-5.25,-26.70,100.19,-3.4200,-2.4570,1.6642,-0.01179,0.00328,0.00000
1783676275182,2945,-2.85,-24.60,99.70,-1.0200,-0.3570,1.1742,-0.00499,-0.00076,0.00000
1783676275241,3004,-0.15,-25.05,102.37,1.6800,-0.8070,3.8442,-0.00246,-0.00012,0.00000
1783676275241,3004,-2.55,-26.85,97.77,-0.7200,-2.6070,-0.7558,0.00052,0.00785,0.06144
1783676275242,3005,-2.55,-25.20,95.59,-0.7200,-0.9570,-2.9358,0.00409,0.00508,0.16531
1783676275242,3005,-2.85,-26.10,100.43,-1.0200,-1.8570,1.9042,-0.00580,0.00294,0.00000
1783676275301,3064,-1.65,-26.70,104.30,0.1800,-2.4570,5.7742,-0.00973,0.00186,0.00000
1783676275302,3065,0.00,-25.35,100.43,1.8300,-1.1070,1.9042,0.00186,0.00269,0.00000
1783676275302,3065,-3.90,-24.45,98.01,-2.0700,-0.2070,-0.5158,-0.00470,-0.00032,0.00000
1783676275303,3066,-3.00,-23.85,100.91,-1.1700,0.3930,2.3842,-0.00807,-0.00420,0.00000
1783676275361,3124,-4.35,-25.35,94.14,-2.5200,-1.1070,-4.3858,0.00194,0.00566,0.19931
1783676275361,3124,-2.70,-25.35,95.59,-0.8700,-1.1070,-2.9358,0.00373,0.00542,0.16307
1783676275362,3125,-3.15,-25.80,95.59,-1.3200,-1.5570,-2.9358,0.00266,0.00642,0.15633
1783676275362,3125,-0.90,-25.35,101.16,0.9300,-1.1070,2.6342,-0.00207,0.00139,0.00000
1783676275421,3184,-4.05,-26.40,99.70,-2.2200,-2.1570,1.1742,-0.00761,0.00368,0.00000
1783676275421,3184,-4.05,-23.40,104.30,-2.2200,0.8430,5.7742,-0.01778,-0.00943,0.00000
1783676275422,3185,-2.70,-25.80,96.32,-0.8700,-1.5570,-2.2058,0.00249,0.00604,0.12677
1783676275481,3244,0.15,-26.55,95.83,1.9800,-2.3070,-2.6958,0.01171,0.01065,0.25126
1783676275481,3244,-0.45,-26.55,101.40,1.3800,-2.3070,2.8742,-0.00080,0.00498,0.00000
1783676275481,3244,-4.35,-23.70,99.46,-2.5200,0.5430,0.9342,-0.00908,-0.00419,0.00000
1783676275482,3245,-4.05,-25.05,94.62,-2.2200,-0.8070,-3.9058,0.00172,0.00453,0.17558
1783676275541,3304,-0.30,-26.55,95.11,1.5300,-2.3070,-3.4158,0.01186,0.01102,0.28023
1783676275541,3304,-3.60,-22.35,104.06,-1.7700,1.8930,5.5342,-0.01648,-0.01197,0.00000
1783676275541,3304,-6.15,-24.60,96.32,-4.3200,-0.3570,-2.2058,-0.00763,0.00018,0.00665
1783676275541,3304,-3.00,-22.35,93.65,-1.1700,1.8930,-4.8758,0.00544,-0.00173,0.22404
1783676275601,3364,-2.70,-24.75,98.49,-0.8700,-0.5070,-0.0358,-0.00215,0.00092,0.00000
1783676275601,3364,-1.50,-24.45,101.88,0.3300,-0.2070,3.3542,-0.00552,-0.00234,0.00000
1783676275602,3365,-1.80,-23.70,96.32,0.0300,0.5430,-2.2058,0.00415,0.00051,0.12258
1783676275602,3365,-4.65,-21.60,98.74,-2.8200,2.6430,0.2142,-0.00937,-0.00986,0.00000
1783676275661,3424,-3.15,-26.10,98.98,-1.3200,-1.8570,0.4542,-0.00381,0.00410,0.00000
1783676275661,3424,-2.55,-23.25,99.22,-0.7200,0.9930,0.6942,-0.00377,-0.00405,0.00000
1783676275661,3424,-1.05,-25.20,100.43,0.7800,-0.9570,1.9042,-0.00114,0.00153,0.00000
1783676275721,3484,-4.35,-25.35,100.91,-2.5200,-1.1070,2.3842,-0.01123,-0.00073,0.00000
1783676275721,3484,1.65,-22.05,97.28,3.4800,2.1930,-1.2458,0.01125,-0.00286,0.14430
1783676275721,3484,-4.50,-26.40,93.17,-2.6700,-2.1570,-5.3558,0.00384,0.00954,0.26735
1783676275722,3485,-3.30,-23.70,98.98,-1.4700,0.5430,0.4542,-0.00521,-0.00302,0.00000
1783676275780,3543,-3.15,-22.65,98.98,-1.3200,1.5930,0.4542,-0.00522,-0.00599,0.00000
1783676275781,3544,-2.85,-24.15,99.70,-1.0200,0.0930,1.1742,-0.00517,-0.00208,0.00000
1783676275781,3544,-1.65,-25.50,97.77,0.1800,-1.2570,-0.7558,0.00248,0.00451,0.06829
1783676275781,3544,-1.05,-23.10,100.19,0.7800,1.1430,1.6642,-0.00152,-0.00438,0.00000
1783676275840,3603,-0.60,-24.90,94.62,1.2300,-0.6570,-3.9058,0.01130,0.00645,0.27583
1783676275841,3604,-1.50,-25.65,101.88,0.3300,-1.4070,3.3542,-0.00503,0.00117,0.00000
1783676275841,3604,-1.50,-23.55,99.95,0.3300,0.6930,1.4242,-0.00213,-0.00315,0.00000
1783676275842,3605,-1.95,-27.15,97.04,-0.1200,-2.9070,-1.4858,0.00374,0.00982,0.12659
1783676275901,3664,-2.70,-27.00,94.38,-0.8700,-2.7570,-4.1458,0.00676,0.01138,0.25850
1783676275902,3665,-3.60,-24.90,98.74,-1.7700,-0.6570,0.2142,-0.00509,0.00051,0.00000
1783676275902,3665,-3.30,-28.20,98.25,-1.4700,-3.9570,-0.2758,-0.00196,0.01083,0.03083
1783676275960,3723,1.05,-25.50,99.46,2.8800,-1.2570,0.9342,0.00674,0.00476,0.04912
1783676275960,3725,-2.85,-26.85,98.49,-1.0200,-2.6070,-0.0358,-0.00172,0.00696,0.01020
1783676275962,3725,-2.25,-24.75,102.12,-0.4200,-0.5070,3.5942,-0.00796,-0.00220,0.00000
1783676275962,3725,-1.80,-24.45,96.80,0.0300,-0.2070,-1.7258,0.00352,0.00226,0.10540
1783676276021,3784,2.55,-25.50,96.32,4.3800,-1.2570,-2.2058,0.01704,0.00875,0.27827
1783676276021,3784,-3.00,-24.45,98.74,-1.1700,-0.2070,0.2142,-0.00360,-0.00040,0.00000
1783676276021,3784,-0.45,-25.80,98.98,1.3800,-1.5570,0.4542,0.00361,0.00507,0.03721
1783676276022,3785,-3.60,-23.55,94.62,-1.7700,0.6930,-3.9058,0.00237,0.00045,0.16686
1783676276081,3844,-0.45,-24.30,98.01,1.3800,-0.0570,-0.5158,0.00488,0.00160,0.07215
1783676276081,3844,-1.35,-20.85,95.83,0.4800,3.3930,-2.6958,0.00520,-0.00705,0.12279
1783676276082,3845,-4.20,-20.70,97.77,-2.3700,3.5430,-0.7558,-0.00659,-0.01127,0.00000
1783676276082,3845,-2.55,-26.85,99.22,-0.7200,-2.6070,0.6942,-0.00230,0.00648,0.00000
